date,rating,title,content
2026-06-12,1,客服極爛，系統極爛，買東西被說刷評價，莫名其妙，白金會員 vip都買了、還被這樣搞,爛爛爛
2026-06-12,1,打不開,更新之後點什麼都在跑 根本打不開
2026-06-12,1,在爛下去就沒人用了,越更新越爛，APP開起來 商品跟訂單都不能出來
2026-06-12,2,繳費機出問題,客服要讓我等多久😂
2026-06-12,4,168多看多買少看少買,運送費減少，我覺得還不錯用！
2026-06-12,1,無法看見銷售狀況,已經連續三天無法看到我的銷售頁面了，這樣完全無法出貨，App也更新到最新版本了，依然沒有用。昂貴的抽成，結果App的狀況越來越多，也已經很久沒有即時收到東西賣出去的通知，真的很差勁。
2026-06-12,1,還可以偷改送達日期喔,偷改送達日期是怎樣
2026-06-12,1,超爛手續費越多越多然後上架個商品一直當掉,每次要上架商品都一直錯誤錯誤，沒看過這麼難用的app，手續費還收那麼多
2026-06-11,1,客服永遠打不進去！！,店到店機器故障！兩天了還不修理！也聯絡不到客服！
2026-06-11,1,最近是怎樣啊？更新完都很怪耶現在是訊息那邊一直出現明明就刪除了。,快處理很爛耶一直出現白畫面到底是有沒有在處理啊已經很久了爛到不行😡😡😡一直跑出白畫面是怎樣？你們到底要不要處理呀？沒有要處理喔蝦皮就不要用了啦爛死。
2026-06-11,1,蝦皮物流超級慢,很多優秀的賣家出貨超級快，就慢在蝦皮物流，一單多抽那麼多錢，服務也沒有比較好
2026-06-11,1,一直繞圈圈,有夠爛，每次都跑不出來
2026-06-11,1,看直播都會手機過熱,手機常常過熱
2026-06-11,3,這是第一次的體驗線上直播,感覺很新鮮，還不太熟悉。
2026-06-11,5,退貨讓人安心,買到假貨就直接退了，非要有魄力
2026-06-11,5,好多商品,愉快的購物體驗
2026-06-11,1,垃圾影音看15分鐘就夠了,如標題
2026-06-11,1,垃圾搜尋,超你媽搜尋跑一堆不相關的東西是在搜什麼東西，你們是智障嗎？做的真他媽爛，分數是買出來的吧
2026-06-11,4,經常使用,"優點：物品齊全 客服態度良好
缺點：店家素質良莠不一 客服電話接通有點慢"
2026-06-11,1,不要更新沒用的東西,為什麼一進去商品就是看影片？我在放音樂還給我停掉，根本就不需要這個更新到底在更新這個多餘的東西做什麼
2026-06-11,2,通知頁面更新後很難操作,更新訊息全部混在一個頁面 之前的比較好看懂
